word;ua_word;date;week_date;month_date;level
better;краще ;1.0;1.0;1.0;1.0
between;між ;1.0;1.0;1.0;1.0
beyond;за, поза, за межами ;1.0;1.0;1.0;1.0
big;великий ;1.0;1.0;1.0;1.0
bill;законопроект, рахунок, плакат ;1.0;1.0;1.0;1.0
bird;птах ;1.0;1.0;1.0;1.0
birthday;день народження ;1.0;1.0;1.0;1.0
bit;трохи, бур, кусок ;1.0;1.0;1.0;1.0
black;чорний ;1.0;1.0;1.0;1.0
block;блок, блокувати ;1.0;1.0;1.0;1.0
blood;кров ;1.0;1.0;1.0;1.0
blow;"дути, подути; удар; цвіт, цвітіння ";1.0;1.0;1.0;1.0
blue;синій, блакитний ;1.0;1.0;1.0;1.0
board;"дошка; правління, рада, колегія; сісти (на літак, автобус і т.д.)";1.0;1.0;1.0;1.0
boat;човен ;1.0;1.0;1.0;1.0
body;тіло ;1.0;1.0;1.0;1.0
book;"книга; замовляти, резервувати ";1.0;1.0;1.0;1.0
born;народитись ;1.0;1.0;1.0;1.0
both;обидва, теж, і той і інший, як...так і...;1.0;1.0;1.0;1.0
bottle;пляшки, розливати ;1.0;1.0;1.0;1.0
bottom;дно ;1.0;1.0;1.0;1.0
box;вікно, коробка, затиснути ;1.0;1.0;1.0;1.0
boy;хлопець ;1.0;1.0;1.0;1.0
branch;відділення, галузь ;1.0;1.0;1.0;1.0
bread;хліб ;1.0;1.0;1.0;1.0
break;перерва, розбити ;1.0;1.0;1.0;1.0
broke;зруйнований, розорений ;1.0;1.0;1.0;1.0
breakfast;сніданок ;1.0;1.0;1.0;1.0
bridge;міст, перемичка ;1.0;1.0;1.0;1.0
bright;яскравий ;1.0;1.0;1.0;1.0
bring;принести ;1.0;1.0;1.0;1.0
brought;приніс ;1.0;1.0;1.0;1.0
brother;брат ;1.0;1.0;1.0;1.0
brown;коричневий ;1.0;1.0;1.0;1.0
build;будувати ;1.0;1.0;1.0;1.0
building;будівля ;1.0;1.0;1.0;1.0
burn;горіти, опік ;1.0;1.0;1.0;1.0
bus;автобус ;1.0;1.0;1.0;1.0
business;бізнес ;1.0;1.0;1.0;1.0
busy;зайнятий ;1.0;1.0;1.0;1.0
but;але, тільки, крім ;1.0;1.0;1.0;1.0
butter;"масло; маслити, лестити ";1.0;1.0;1.0;1.0
buy;купувати ;1.0;1.0;1.0;1.0
bought;куплений ;1.0;1.0;1.0;1.0
by;по, шляхом, за, на ;1.0;1.0;1.0;1.0
cake;"торт; брикет ";1.0;1.0;1.0;1.0
call;"називати; викликати, дзвонити (по телефону)";1.0;1.0;1.0;1.0
can;могти ;1.0;1.0;1.0;1.0
could;міг, міг би ;1.0;1.0;1.0;1.0
capital;"капітал; столиця ";1.0;1.0;1.0;1.0
car;автомобіль ;1.0;1.0;1.0;1.0
card;картка ;1.0;1.0;1.0;1.0
care;догляд, турбота, піклування ;1.0;1.0;1.0;1.0
carry;"нести; перевозити ";1.0;1.0;1.0;1.0
case;"випадок, справа; чохол, футляр ";1.0;1.0;1.0;1.0
cat;кіт ;1.0;1.0;1.0;1.0
catch;зловити, спіймати, улов ;1.0;1.0;1.0;1.0
caught;спійманий ;1.0;1.0;1.0;1.0
cause;"викликати, спричиняти; причина ";1.0;1.0;1.0;1.0
central;центральний ;1.0;1.0;1.0;1.0
centre / center;центр ;1.0;1.0;1.0;1.0
century;століття ;1.0;1.0;1.0;1.0
certain;певний, деякий, один ;1.0;1.0;1.0;1.0
certainly;звичайно, авжеж ;1.0;1.0;1.0;1.0
chair;"крісло; голова, очолювати ";1.0;1.0;1.0;1.0
chance;шанс ;1.0;1.0;1.0;1.0
change;зміна ;1.0;1.0;1.0;1.0
charge;"плата (за послуги); занесення на рахунок; заряджати, заряд; обвинувачення";1.0;1.0;1.0;1.0
cheap;дешевий ;1.0;1.0;1.0;1.0
check;"чек; перевірка ";1.0;1.0;1.0;1.0
cheese;сир ;1.0;1.0;1.0;1.0
chicken;курка, курча ;1.0;1.0;1.0;1.0
child;дитина ;1.0;1.0;1.0;1.0
children;діти ;1.0;1.0;1.0;1.0
choose;вибирати ;1.0;1.0;1.0;1.0
church;церква ;1.0;1.0;1.0;1.0
circle;коло ;1.0;1.0;1.0;1.0
city;місто ;1.0;1.0;1.0;1.0
claim;претензії, позов, вимагати ;1.0;1.0;1.0;1.0
class;клас, класифікувати, класовий ;1.0;1.0;1.0;1.0
clean;чистота, чистити ;1.0;1.0;1.0;1.0
clear;ясно, очищати, чіткий ;1.0;1.0;1.0;1.0
clock;годинник, морда ;1.0;1.0;1.0;1.0
close;закрити, тісний ;1.0;1.0;1.0;1.0
clothes;одяг, білизна ;1.0;1.0;1.0;1.0
coat;пальто, покривати ;1.0;1.0;1.0;1.0
coffee;кава ;1.0;1.0;1.0;1.0
cold;холод, холодний ;1.0;1.0;1.0;1.0
college;коледж ;1.0;1.0;1.0;1.0
colour;колір, фарбувати ;1.0;1.0;1.0;1.0
come;приходити ;1.0;1.0;1.0;1.0
came;прийшов ;1.0;1.0;1.0;1.0
common;загальний, громада ;1.0;1.0;1.0;1.0
company;компанія, спілкуватися ;1.0;1.0;1.0;1.0
complete;повний, завершувати ;1.0;1.0;1.0;1.0
concern;занепокоєння, заклопотанність, участь, стосуватися;1.0;1.0;1.0;1.0
condition;"стан, кондиція; умова, обумовлювати";1.0;1.0;1.0;1.0
consider;розглядати, вважати, враховувати;1.0;1.0;1.0;1.0
continue;продовжувати;1.0;1.0;1.0;1.0
control;контроль ;1.0;1.0;1.0;1.0
cook;готувати, кухар ;1.0;1.0;1.0;1.0
cool;прохолодний, охолоджувати ;1.0;1.0;1.0;1.0
copy;копія, коріювати ;1.0;1.0;1.0;1.0
corner;кут, кутовий ;1.0;1.0;1.0;1.0
correct;правильний, вірний ;1.0;1.0;1.0;1.0
cost;вартість, коштувати ;1.0;1.0;1.0;1.0
count;рахувати, вважати ;1.0;1.0;1.0;1.0
country;країна, сільський ;1.0;1.0;1.0;1.0
course;курс ;1.0;1.0;1.0;1.0
court;"суд; корт, двір ";1.0;1.0;1.0;1.0
cover;охоплювати, покривати, кришка ;1.0;1.0;1.0;1.0
cow;корова ;1.0;1.0;1.0;1.0
cross;"перетинати, переходити; хрест; крос";1.0;1.0;1.0;1.0
crowd;натовп, товпитися ;1.0;1.0;1.0;1.0
cry;плакати, крик ;1.0;1.0;1.0;1.0
cup;чашка, чаша ;1.0;1.0;1.0;1.0
current;"поточний, нинішний; течія, струм ";1.0;1.0;1.0;1.0
cut;скоротити, розріз, розрізати ;1.0;1.0;1.0;1.0
danger;небезпека ;1.0;1.0;1.0;1.0
dark;темний, темрява ;1.0;1.0;1.0;1.0
date;дата ;1.0;1.0;1.0;1.0
daughter;дочка ;1.0;1.0;1.0;1.0
day;день ;1.0;1.0;1.0;1.0
dead;мертвий ;1.0;1.0;1.0;1.0
deal;"угода; розподіляти, роздавати; торгувати, постачати";1.0;1.0;1.0;1.0
dear;шановний, дорогий ;1.0;1.0;1.0;1.0
death;смерть ;1.0;1.0;1.0;1.0
december;грудень ;1.0;1.0;1.0;1.0
decide;вирішити, вирішувати ;1.0;1.0;1.0;1.0
decision;рішення, постанова, вирок ;1.0;1.0;1.0;1.0
deep;глибоко, глибина, безодня ;1.0;1.0;1.0;1.0
degree;ступінь, рівень ;1.0;1.0;1.0;1.0
demand;попит, потреба, вимагати ;1.0;1.0;1.0;1.0
department;відділ ;1.0;1.0;1.0;1.0
describe;описувати ;1.0;1.0;1.0;1.0
desk;стіл ;1.0;1.0;1.0;1.0
destination;призначення, пункт призначення ;1.0;1.0;1.0;1.0
detail;детально, деталь ;1.0;1.0;1.0;1.0
develop;розробки, розвивати, удосконалювати;1.0;1.0;1.0;1.0
die;померти ;1.0;1.0;1.0;1.0
difference;різниця, відмінність ;1.0;1.0;1.0;1.0
different;інший, різний ;1.0;1.0;1.0;1.0
difficult;важко, скрутний, важкий ;1.0;1.0;1.0;1.0
dinner;обід, обідати ;1.0;1.0;1.0;1.0
direct;прямий, керувати, спрямовувати ;1.0;1.0;1.0;1.0
direction;напрямок, керівництво ;1.0;1.0;1.0;1.0
discover;відкривати, знаходити ;1.0;1.0;1.0;1.0
discuss;обговорювати, дискутувати ;1.0;1.0;1.0;1.0
distance;відстань ;1.0;1.0;1.0;1.0
divide;ділити, поділ ;1.0;1.0;1.0;1.0
do;робити ;1.0;1.0;1.0;1.0
does;робить ;1.0;1.0;1.0;1.0
did;зробив ;1.0;1.0;1.0;1.0
done;зроблено ;1.0;1.0;1.0;1.0
doctor;лікар ;1.0;1.0;1.0;1.0
dog;собака ;1.0;1.0;1.0;1.0
door;двері ;1.0;1.0;1.0;1.0
doubt;сумнів ;1.0;1.0;1.0;1.0
down;вниз, опускати ;1.0;1.0;1.0;1.0
draw;"малювати; залучати, втягувати; тягнути, витягувати";1.0;1.0;1.0;1.0
dress;плаття, одягатися ;1.0;1.0;1.0;1.0
drink;пити, напій ;1.0;1.0;1.0;1.0
drive;їзда, проїзд, керувати ;1.0;1.0;1.0;1.0
driver;водій ;1.0;1.0;1.0;1.0
drop;падіння, падати ;1.0;1.0;1.0;1.0
dry;сухий, сухість, сушити ;1.0;1.0;1.0;1.0
during;під час, протягом, у ході ;1.0;1.0;1.0;1.0
duty;борг, обов'язок ;1.0;1.0;1.0;1.0
each;кожен ;1.0;1.0;1.0;1.0
ear;вухо, слух ;1.0;1.0;1.0;1.0
early;рано, ранній ;1.0;1.0;1.0;1.0
earth;земля, заземлення ;1.0;1.0;1.0;1.0
east;схід, східний ;1.0;1.0;1.0;1.0
easy;легко, легкий ;1.0;1.0;1.0;1.0
eat;їсти ;1.0;1.0;1.0;1.0
edge;край, кромка, загострювати, відточувати;1.0;1.0;1.0;1.0
education;освіта, навчання ;1.0;1.0;1.0;1.0
effect;ефект, вплив, здійснювати ;1.0;1.0;1.0;1.0
effort;зусилля, намагання ;1.0;1.0;1.0;1.0
egg;яйце, яйцеклітина, зародок ;1.0;1.0;1.0;1.0
eight;вісім ;1.0;1.0;1.0;1.0
eighteen;вісімнадцять ;1.0;1.0;1.0;1.0
eighty;вісімдесят ;1.0;1.0;1.0;1.0
either;або, теж ;1.0;1.0;1.0;1.0
eleven;одинадцять ;1.0;1.0;1.0;1.0
else;або, інакше, інший ;1.0;1.0;1.0;1.0
empty;порожній, спорожняти ;1.0;1.0;1.0;1.0
end ;кінець, закінчувати ;1.0;1.0;1.0;1.0
enemy;ворог, противник ;1.0;1.0;1.0;1.0
engine;двигун, машина ;1.0;1.0;1.0;1.0
engineer;інженер, проектувати ;1.0;1.0;1.0;1.0
enjoy;користуватися, насолоджуватися ;1.0;1.0;1.0;1.0
enough;досить, достатньо ;1.0;1.0;1.0;1.0
enter;вводити, вступати, зайти ;1.0;1.0;1.0;1.0
especially;особливо, надто ;1.0;1.0;1.0;1.0
even;"навіть; рівний, вирівнювати ";1.0;1.0;1.0;1.0
evening;вечір ;1.0;1.0;1.0;1.0
event;подія, випадок ;1.0;1.0;1.0;1.0
ever;коли-небудь ;1.0;1.0;1.0;1.0
every;кожен ;1.0;1.0;1.0;1.0
everybody;всі, всім ;1.0;1.0;1.0;1.0
everyone;кожен ;1.0;1.0;1.0;1.0
everything;всі, все ;1.0;1.0;1.0;1.0
exam(ination);"іспит; обстеження, експертиза";1.0;1.0;1.0;1.0
example;наприклад, приклад, зразок ;1.0;1.0;1.0;1.0
except;за винятком, виключати, крім ;1.0;1.0;1.0;1.0
excuse;"виправдання, вибачення,
вибачати";1.0;1.0;1.0;1.0
exercise;вправа, здійснювати, тренуватися ;1.0;1.0;1.0;1.0
expect;чекати, очікувати ;1.0;1.0;1.0;1.0
expensive;коштовний, дорогий ;1.0;1.0;1.0;1.0
experience;досвід ;1.0;1.0;1.0;1.0
explain;пояснювати ;1.0;1.0;1.0;1.0
eye;око, стежити ;1.0;1.0;1.0;1.0
face;обличчя, особа ;1.0;1.0;1.0;1.0
fact ;факт ;1.0;1.0;1.0;1.0
factory ;завод, фабрика ;1.0;1.0;1.0;1.0
fair ;справедливий, чесний, чесно ;1.0;1.0;1.0;1.0
fall ;падіння ;1.0;1.0;1.0;1.0
fell ;впав ;1.0;1.0;1.0;1.0
family ;сім'я ;1.0;1.0;1.0;1.0
famous ;знаменитий, славетний, відомий ;1.0;1.0;1.0;1.0
far ;далеко, далекий ;1.0;1.0;1.0;1.0
farm ;ферма, сільськогосподарське, розсадник;1.0;1.0;1.0;1.0
farmer ;фермер ;1.0;1.0;1.0;1.0
fast ;швидко, швидкий ;1.0;1.0;1.0;1.0
fat ;товстий, жир, сало ;1.0;1.0;1.0;1.0
father ;батько, породжувати ;1.0;1.0;1.0;1.0
fear ;страх, боятися ;1.0;1.0;1.0;1.0
february ;лютий (місяць) ;1.0;1.0;1.0;1.0
feel ;відчуття, відчувати ;1.0;1.0;1.0;1.0
feeling ;відчуття, співчуття, почуття, зворушливий;1.0;1.0;1.0;1.0
felt ;"відчув; повсть, фетр ";1.0;1.0;1.0;1.0
few ;декілька, кілька ;1.0;1.0;1.0;1.0
field;поле, ділянка, польовий ;1.0;1.0;1.0;1.0
fifteen ;п'ятнадцять ;1.0;1.0;1.0;1.0
fifth ;п'ятий ;1.0;1.0;1.0;1.0
fifty ;п'ятдесят ;1.0;1.0;1.0;1.0
fight;боротьба, бій ;1.0;1.0;1.0;1.0
figure ;фігура, зображати ;1.0;1.0;1.0;1.0
fill;заповнення, достатня кількість ;1.0;1.0;1.0;1.0
film;фільм, плівка, фільмувати, фільмуватись;1.0;1.0;1.0;1.0
final ;фінал, остаточний, заключний ;1.0;1.0;1.0;1.0
find;знайти, знахідка, пошук ;1.0;1.0;1.0;1.0
fine ;"чудовий; штраф ";1.0;1.0;1.0;1.0
finger ;палець, доторкатися ;1.0;1.0;1.0;1.0
finish ;фініш, закінчувати ;1.0;1.0;1.0;1.0
fire;"вогонь, пожежа; стріляти ";1.0;1.0;1.0;1.0
firm;фірма, зміцнювати, твердий ;1.0;1.0;1.0;1.0
first;перший, спочатку ;1.0;1.0;1.0;1.0
fish;риба, ловити рибу ;1.0;1.0;1.0;1.0
five;п'ять ;1.0;1.0;1.0;1.0
flat ;"плоский, рівнина; квартира ";1.0;1.0;1.0;1.0
flight ;політ, рейс ;1.0;1.0;1.0;1.0
floor ;поверх, підлога ;1.0;1.0;1.0;1.0
flower ;квітка ;1.0;1.0;1.0;1.0
fly ;"політ; муха ";1.0;1.0;1.0;1.0
follow ;"слідувати, слідом; наступний ";1.0;1.0;1.0;1.0
food ;харчування, продовольчий ;1.0;1.0;1.0;1.0
foot ;"нога, стопа; фут ";1.0;1.0;1.0;1.0
feet ;стопи ;1.0;1.0;1.0;1.0
for ;для ;1.0;1.0;1.0;1.0
force ;сила, примусити ;1.0;1.0;1.0;1.0
foreign ;зовнішній, закордонний, іноземний;1.0;1.0;1.0;1.0
forest ;ліс, лісовий ;1.0;1.0;1.0;1.0
forget ;забути ;1.0;1.0;1.0;1.0
form ;"форма, формувати; бланк ";1.0;1.0;1.0;1.0
forty ;сорок ;1.0;1.0;1.0;1.0
forward ;вперед, передній ;1.0;1.0;1.0;1.0
four ;чотири ;1.0;1.0;1.0;1.0
fourteen ;чотирнадцять ;1.0;1.0;1.0;1.0
free ;"безкоштовно; вільний, визволяти ";1.0;1.0;1.0;1.0
fresh ;свіжий ;1.0;1.0;1.0;1.0
friday ;п'ятниця ;1.0;1.0;1.0;1.0
friend ;друг ;1.0;1.0;1.0;1.0
from ;від, з ;1.0;1.0;1.0;1.0
front ;перед, фронт, передній ;1.0;1.0;1.0;1.0
fruit ;фрукт, плід ;1.0;1.0;1.0;1.0
full ;повний, досягати повноти, цілком ;1.0;1.0;1.0;1.0
further / furthest ;далі, далеко, найвіддаленіший;1.0;1.0;1.0;1.0
future ;майбутнє ;1.0;1.0;1.0;1.0
game ;гра ;1.0;1.0;1.0;1.0
garden ;сад ;1.0;1.0;1.0;1.0
general ;"загальний, генеральний; генерал ";1.0;1.0;1.0;1.0
get ;отримати ;1.0;1.0;1.0;1.0
girl ;дівчина ;1.0;1.0;1.0;1.0
give ;давати ;1.0;1.0;1.0;1.0
gave ;дав ;1.0;1.0;1.0;1.0
given ;даний, заданий ;1.0;1.0;1.0;1.0
glad ;радий, радісний ;1.0;1.0;1.0;1.0
glass ;скло ;1.0;1.0;1.0;1.0
go ;ходити, їхати ;1.0;1.0;1.0;1.0
went ;пішов ;1.0;1.0;1.0;1.0
gone ;пройшло, втрачений (наприклад, час);1.0;1.0;1.0;1.0
god ;бог, хрещений ;1.0;1.0;1.0;1.0
going ;"від'їжджати, збиратися; діючий, існуючий";1.0;1.0;1.0;1.0
gold ;золото ;1.0;1.0;1.0;1.0
good ;добре ;1.0;1.0;1.0;1.0
good-bye ;до побачення ;1.0;1.0;1.0;1.0
government ;уряд;1.0;1.0;1.0;1.0
grass ;трава, пастися ;1.0;1.0;1.0;1.0
great ;великий ;1.0;1.0;1.0;1.0
green ;зелений ;1.0;1.0;1.0;1.0
grey (gray) ;сірий ;1.0;1.0;1.0;1.0
ground ;земля, грунтувати ;1.0;1.0;1.0;1.0
group ;група ;1.0;1.0;1.0;1.0
grow ;рости ;1.0;1.0;1.0;1.0
grew ;ріс, зростав ;1.0;1.0;1.0;1.0
guide ;гід, вести ;1.0;1.0;1.0;1.0
gun ;гармата, рушниця, пістолет ;1.0;1.0;1.0;1.0
hair ;волосся ;1.0;1.0;1.0;1.0
half ;половина, пів ;1.0;1.0;1.0;1.0
hall ;хол, зала ;1.0;1.0;1.0;1.0
hand ;рука, ручний ;1.0;1.0;1.0;1.0
hang ;вішати ;1.0;1.0;1.0;1.0
happen ;трапитися, статися ;1.0;1.0;1.0;1.0
happy ;щасливий ;1.0;1.0;1.0;1.0
hard ;важкий, жорсткий ;1.0;1.0;1.0;1.0
hat ;капелюх ;1.0;1.0;1.0;1.0
мати, володіти ;have (has, had, having);1.0;1.0;1.0;1.0
he ;він ;1.0;1.0;1.0;1.0
head ;"голова; керівник ";1.0;1.0;1.0;1.0
health ;здоров'я ;1.0;1.0;1.0;1.0
hear ;чути ;1.0;1.0;1.0;1.0
heard ;почутий ;1.0;1.0;1.0;1.0
heart ;серце ;1.0;1.0;1.0;1.0
heat ;тепло ;1.0;1.0;1.0;1.0
heavy ;важкий ;1.0;1.0;1.0;1.0
hello / hi ;привіт ;1.0;1.0;1.0;1.0
help ;допомога ;1.0;1.0;1.0;1.0
her ;її ;1.0;1.0;1.0;1.0
here ;тут, сюди ;1.0;1.0;1.0;1.0
high ;високий ;1.0;1.0;1.0;1.0
him ;його, йому, себе ;1.0;1.0;1.0;1.0
his ;його, він ;1.0;1.0;1.0;1.0
history ;історія ;1.0;1.0;1.0;1.0
hit ;удар, успіх ;1.0;1.0;1.0;1.0
hold ;утримувати, тримати ;1.0;1.0;1.0;1.0
held ;тримається ;1.0;1.0;1.0;1.0
hole ;отвір, довбати, продірявлювати ;1.0;1.0;1.0;1.0
holiday ;канікули, свята, святкувати ;1.0;1.0;1.0;1.0
home ;дім ;1.0;1.0;1.0;1.0
hope ;надія, сподіватися ;1.0;1.0;1.0;1.0
horse ;кінь ;1.0;1.0;1.0;1.0
hospital ;лікарня ;1.0;1.0;1.0;1.0
hot ;гарячий ;1.0;1.0;1.0;1.0
hotel ;готель ;1.0;1.0;1.0;1.0
hour ;година, час, період ;1.0;1.0;1.0;1.0
house ;дім ;1.0;1.0;1.0;1.0
how ;як, скільки (прислівник), що (сполучник);1.0;1.0;1.0;1.0
however ;проте, однак ;1.0;1.0;1.0;1.0
human ;людина, людський ;1.0;1.0;1.0;1.0
hundred ;сто ;1.0;1.0;1.0;1.0
hurry ;поспішати, поспіх ;1.0;1.0;1.0;1.0
husband ;чоловік, муж ;1.0;1.0;1.0;1.0
i ;я ;1.0;1.0;1.0;1.0
ice ;лід, крига, морозиво ;1.0;1.0;1.0;1.0
idea ;ідея, поняття, уявлення ;1.0;1.0;1.0;1.0
if ;якщо ;1.0;1.0;1.0;1.0
ill ;зло, лихо, поганий, хворий ;1.0;1.0;1.0;1.0
important ;важливо ;1.0;1.0;1.0;1.0
in ;в ;1.0;1.0;1.0;1.0
include ;містить в собі, включає в себе ;1.0;1.0;1.0;1.0
increase ;збільшення, підвищення, приріст ;1.0;1.0;1.0;1.0
industry ;промисловість, індустрія ;1.0;1.0;1.0;1.0
information ;інформація ;1.0;1.0;1.0;1.0
inside ;всередині, нутро ;1.0;1.0;1.0;1.0
instead ;замість ;1.0;1.0;1.0;1.0
interest ;інтерес, зацікавити ;1.0;1.0;1.0;1.0
interesting ;цікаво, цікавий ;1.0;1.0;1.0;1.0
into ;в ;1.0;1.0;1.0;1.0
iron ;залізо ;1.0;1.0;1.0;1.0
island ;острів ;1.0;1.0;1.0;1.0
issue ;питання, випуск, видавати ;1.0;1.0;1.0;1.0
it ;це ;1.0;1.0;1.0;1.0
its ;його, її ;1.0;1.0;1.0;1.0
january ;січень ;1.0;1.0;1.0;1.0
job ;робота, наймати ;1.0;1.0;1.0;1.0
join ;приєднатися, зв'язок ;1.0;1.0;1.0;1.0
july ;липень ;1.0;1.0;1.0;1.0
jump ;стрибок, стрибати ;1.0;1.0;1.0;1.0
june ;червень ;1.0;1.0;1.0;1.0
just ;"просто; тільки, щойно ";1.0;1.0;1.0;1.0
keep ;тримати, зберігати ;1.0;1.0;1.0;1.0
kept ;утримуваний, тримав ;1.0;1.0;1.0;1.0
key ;ключ, основний, ключовий ;1.0;1.0;1.0;1.0
kill ;вбити ;1.0;1.0;1.0;1.0
kind ;"вид, рід, різновид; добрий, люб'язний";1.0;1.0;1.0;1.0
king ;король, правити ;1.0;1.0;1.0;1.0
kitchen ;кухня ;1.0;1.0;1.0;1.0
knife ;ніж, скальпель, кинжал ;1.0;1.0;1.0;1.0
lady ;леді ;1.0;1.0;1.0;1.0
land ;земля, край, приземлятися ;1.0;1.0;1.0;1.0
language ;мова ;1.0;1.0;1.0;1.0
lack ;брак, відсутність, нестача ;1.0;1.0;1.0;1.0
large ;великий, крупний, рясний ;1.0;1.0;1.0;1.0
last ;останній, минулий ;1.0;1.0;1.0;1.0
late ;пізній, запізнілий ;1.0;1.0;1.0;1.0
laugh ;сміх, сміятися ;1.0;1.0;1.0;1.0
law ;закон ;1.0;1.0;1.0;1.0
lay ;класти, ложити, положення ;1.0;1.0;1.0;1.0
lead ;вести, очолювати ;1.0;1.0;1.0;1.0
leader ;лідер ;1.0;1.0;1.0;1.0
